80, 6, 80
0, 10, 0
0, 10, 3.5
0, 10, 7
0, 10, 10.5
0, 10, 14
0, 10, 17.5
0, 10, 21
0, 10, 24.5
0, 10, 28
0, 10, 31.5
3.5, 10, 0
3.5, 10, 3.5
3.5, 10, 7
3.5, 10, 10.5
3.5, 10, 14
3.5, 10, 17.5
3.5, 10, 21
3.5, 10, 24.5
3.5, 10, 28
3.5, 10, 31.5
7, 10, 0
7, 10, 3.5
7, 10, 7
7, 10, 10.5
7, 10, 14
7, 10, 17.5
7, 10, 21
7, 10, 24.5
7, 10, 28
7, 10, 31.5
10.5, 10, 0
10.5, 10, 3.5
10.5, 10, 7
10.5, 10, 10.5
10.5, 10, 14
10.5, 10, 17.5
10.5, 10, 21
10.5, 10, 24.5
10.5, 10, 28
10.5, 10, 31.5
14, 10, 0
14, 10, 3.5
14, 10, 7
14, 10, 10.5
14, 10, 14
14, 10, 17.5
14, 10, 21
14, 10, 24.5
14, 10, 28
14, 10, 31.5
17.5, 10, 0
17.5, 10, 3.5
17.5, 10, 7
17.5, 10, 10.5
17.5, 10, 14
17.5, 10, 17.5
17.5, 10, 21
17.5, 10, 24.5
17.5, 10, 28
17.5, 10, 31.5
21, 10, 0
21, 10, 3.5
21, 10, 7
21, 10, 10.5
21, 10, 14
21, 10, 17.5
21, 10, 21
21, 10, 24.5
21, 10, 28
21, 10, 31.5
24.5, 10, 0
24.5, 10, 3.5
24.5, 10, 7
24.5, 10, 10.5
24.5, 10, 14
24.5, 10, 17.5
24.5, 10, 21
24.5, 10, 24.5
24.5, 10, 28
24.5, 10, 31.5
28, 10, 0
28, 10, 3.5
28, 10, 7
28, 10, 10.5
28, 10, 14
28, 10, 17.5
28, 10, 21
28, 10, 24.5
28, 10, 28
28, 10, 31.5
31.5, 10, 0
31.5, 10, 3.5
31.5, 10, 7
31.5, 10, 10.5
31.5, 10, 14
31.5, 10, 17.5
31.5, 10, 21
31.5, 10, 24.5
31.5, 10, 28
31.5, 10, 31.5
0, -2, 0
30, 2, 0
35, 2, 0
0, -2, 0
70, 0.1, 70
40, 6, 40
50, 0.1, 50
55, 0.1, 55
30, 0.1, 30
10, 0.1, 10
40, 20, 0
70, 6, 70
45, 2, 0
-10, 2, -10
